Level,Name,Branch,Division,Group,Qty,Total Amount
Group,MIXED HOT BEVERAGE,Stories Faqra,HOT BAR SECTION,MIXED HOT BEVERAGE,7752,1687447.75
Group,TEA,Stories Faqra,HOT BAR SECTION,TEA,545,72193.69
Group,BEANS,Stories Faqra,HOT BAR SECTION,BEANS,9,5654.05
Division,HOT BAR SECTION,Stories Faqra,HOT BAR SECTION,BEANS,10689,2217462.7
Group,MIXED COLD BEVERAGES,Stories Faqra,COLD BAR SECTION,MIXED COLD BEVERAGES,10583,2591897.12
Group,BLENDED BRINKS,Stories Faqra,COLD BAR SECTION,BLENDED BRINKS,3583,966614.95
Group,ICE TEA,Stories Faqra,COLD BAR SECTION,ICE TEA,113,25968.47
Group,ADD SYRUP,Stories Faqra,COLD BAR SECTION,ADD SYRUP,9930,302628.83
Group,REPLACE,Stories Faqra,COLD BAR SECTION,REPLACE,3828,106919.1
Division,COLD BAR SECTION,Stories Faqra,COLD BAR SECTION,REPLACE,28037,3994028.47
Group,SOFT DRINKS,Stories Faqra,GRAB&GO BEVERAGES,SOFT DRINKS,10879,507336.75
Division,GRAB&GO BEVERAGES,Stories Faqra,GRAB&GO BEVERAGES,SOFT DRINKS,10879,507336.75
Group,COFFEE PASTRY,Stories Faqra,COFFEE PASTRY,COFFEE PASTRY,759,200942.34
Division,COFFEE PASTRY,Stories Faqra,COFFEE PASTRY,COFFEE PASTRY,759,200942.34
Group,CROISSANT,Stories Faqra,CROISSANT,CROISSANT,470,94070.27
Division,CROISSANT,Stories Faqra,CROISSANT,CROISSANT,470,94070.27
Group,COOKIES,Stories Faqra,COOKIES,COOKIES,147,49000
Division,COOKIES,Stories Faqra,COOKIES,COOKIES,147,49000
Group,FRENCH PASTRY,Stories Faqra,FRENCH PASTRY,FRENCH PASTRY,314,98279.28
Division,FRENCH PASTRY,Stories Faqra,FRENCH PASTRY,FRENCH PASTRY,314,98279.28
Group,COMBO TOPPINGS,Stories Faqra,FROZEN YOGHURT,COMBO TOPPINGS,30982,0
Group,TOPPINGS,Stories Faqra,FROZEN YOGHURT,TOPPINGS,842,58637.84
Group,LUXURY TOPPINGS,Stories Faqra,FROZEN YOGHURT,LUXURY TOPPINGS,1609,171690.09
Group,FROZEN YOGHURT,Stories Faqra,FROZEN YOGHURT,FROZEN YOGHURT,9872.7,3189838.92
Group,SPECIALTY YOGHURT,Stories Faqra,FROZEN YOGHURT,SPECIALTY YOGHURT,21.5,4933.33
Division,FROZEN YOGHURT,Stories Faqra,FROZEN YOGHURT,SPECIALTY YOGHURT,43327.2,3425100.18
Group,CINNAMONS,Stories Faqra,CINNAMON ROLLS,CINNAMONS,1181,293344.14
Division,CINNAMON ROLLS,Stories Faqra,CINNAMON ROLLS,CINNAMONS,1181,293344.14
Group,PACKAGING,Stories Faqra,CARTON,PACKAGING,862,0
Division,CARTON,Stories Faqra,CARTON,PACKAGING,862,0
